BO_Code,Month,WFYP,NOP
AAA634,2026-01,-1666235.87,4
AAA634,2026-02,2170888.2,12
AAA634,2026-03,4706039.53,26
AAA634,2026-04,48353.03,1
AAA634,2026-05,3508362.93,5
AAA634,2026-06,2405535.2,3
AAA913,2025-07,211935.55,5
AAA913,2025-08,1839.66,1
AAA913,2025-09,27856.21,1
AAA913,2025-10,14412.49,1
AAA913,2025-11,28748.16,1
AAA913,2025-12,913670.2,5
AAA913,2026-01,1163779.38,20
AAA913,2026-02,249930.26,4
AAA913,2026-03,85955.78,6
AAA913,2026-04,40667.5,1
AAA913,2026-05,366690.59,2
AAA913,2026-06,11275.79,1
AAA926,2025-12,67783.47,2
AAA926,2026-01,70472.96,2
AAA926,2026-02,401693.16,2
AAA926,2026-03,266673.74,2
AAA926,2026-04,846.58,0
AAA926,2026-05,14480.23,1
AAA926,2026-06,72486.58,1
AAA975,2025-07,1682.4,1
AAA975,2025-08,122980.63,4
AAA975,2025-09,183450.86,5
AAA975,2025-10,83607.0,2
AAA975,2025-11,577893.41,2
AAA975,2025-12,9573.55,3
AAA975,2026-01,105591.72,6
AAA975,2026-02,891956.08,12
AAA975,2026-03,502845.53,10
AAA975,2026-04,46490.6,2
AAA975,2026-06,505067.6,3
AAA989,2025-07,137958.22,2
AAA989,2025-08,278532.3,4
AAA989,2025-09,104535.0,3
AAA989,2025-10,58063.5,1
AAA989,2025-11,330705.0,4
AAA989,2025-12,574225.1,3
AAA989,2026-01,343365.98,10
AAA989,2026-02,935355.62,10
AAA989,2026-03,546943.77,18
AAA989,2026-04,-41272.69,0
AAA989,2026-05,175743.81,3
AAA989,2026-06,122267.11,3
AAB804,2025-12,249501.32,3
AAB804,2026-01,1447828.67,12
AAB804,2026-02,8854819.03,6
AAB804,2026-03,-11806431.88,6
AAB804,2026-04,8127.17,0
AAB804,2026-05,90000.0,1
AAB804,2026-06,42031.79,1
AAB887,2026-04,112972.44,1
AAB887,2026-05,252529.24,2
AAB887,2026-06,784041.15,8
AAC395,2025-07,58098.0,1
AAC395,2025-08,127330.0,1
AAC395,2025-09,11629.95,2
AAC395,2025-10,277686.97,3
AAC395,2025-11,87454.02,1
AAC395,2025-12,1337770.79,4
AAC395,2026-01,110000.0,2
AAC395,2026-02,60588.0,2
AAC395,2026-03,203220.0,2
AAC395,2026-04,9982.83,1
AAC395,2026-05,-10037.85,0
AAC395,2026-06,-49970.0,0
AAD640,2025-07,332569.09,6
AAD640,2025-08,151560.0,1
AAD640,2025-09,17.42,0
AAD640,2025-10,41056.2,2
AAD640,2025-11,504813.53,8
AAD640,2025-12,788800.23,6
AAD640,2026-01,154931.53,6
AAD640,2026-02,413897.75,8
AAD640,2026-03,657453.2,8
AAD640,2026-04,50611.3,1
AAD640,2026-05,245000.0,4
AAD640,2026-06,419384.0,9
AAD642,2026-04,437567.71,2
AAD642,2026-05,714271.65,4
AAD642,2026-06,347124.96,5
AAD931,2026-06,9174.22,1
AAD950,2025-10,50067.3,2
AAD950,2025-11,492378.2,3
AAD950,2025-12,609540.0,1
AAD950,2026-01,775468.45,8
AAD950,2026-02,213715.7,6
AAD950,2026-03,566100.0,8
AAD950,2026-04,429338.15,2
AAD950,2026-05,61151.5,2
AAD950,2026-06,525004.77,2
AAD951,2025-07,790577.0,6
AAD951,2025-09,703461.55,6
AAD951,2025-10,681072.18,4
AAD951,2025-11,231690.6,2
AAD951,2026-01,422156.0,4
AAD951,2026-05,31737.28,2
AAD951,2026-06,1862.48,1
AAJ391,2025-08,328660.0,3
AAJ391,2025-09,25000.0,1
AAJ391,2025-11,314790.1,3
AAJ391,2025-12,336109.04,7
AAJ391,2026-01,558083.39,10
AAJ391,2026-02,135783.0,4
AAJ391,2026-03,2276534.97,20
AAJ391,2026-05,50490.0,1
AAJ391,2026-06,12121.2,1
AAJ936,2026-01,367184.42,4
AAJ936,2026-02,1789590.26,16
AAJ936,2026-03,1017381.76,18
AAJ936,2026-04,136691.8,2
AAJ936,2026-05,89602.69,2
AAJ936,2026-06,179289.2,4
AAJ937,2025-11,45477.0,2
AAJ937,2025-12,500893.02,5
AAJ937,2026-01,1122154.41,12
AAJ937,2026-02,60570.0,2
AAJ937,2026-03,463060.0,10
AAJ937,2026-04,121303.0,2
AAJ937,2026-05,18112.5,1
AAJ937,2026-06,27299.7,1
AAL759,2025-09,135175.92,3
AAL759,2025-10,610950.71,5
AAL759,2025-11,167704.21,3
AAL759,2025-12,167846.92,3
AAL759,2026-01,846.58,0
AAL759,2026-02,720316.5,12
AAL759,2026-03,69186.54,6
AAL759,2026-04,642761.0,4
AAL759,2026-05,121272.0,1
AAM892,2026-06,965812.1,6
AAM904,2026-02,42000.0,4
AAM904,2026-03,683912.0,4
AAM904,2026-04,50887.74,1
AAM904,2026-05,182808.0,1
AAM904,2026-06,30312.0,1
AAN531,2026-02,575965.16,12
AAN531,2026-03,1644966.14,10
AAN531,2026-04,216095.33,3
AAN531,2026-05,311909.58,3
AAN531,2026-06,111460.96,3
AAO596,2026-04,96372.15,5
AAO596,2026-05,565665.68,4
AAO596,2026-06,96445.2,3
AAY626,2026-01,432508.92,10
AAY626,2026-02,641951.87,8
AAY626,2026-03,234079.0,8
AAY626,2026-04,30294.0,1
AAY626,2026-05,221224.0,1
AAY626,2026-06,100000.0,1
AAY632,2026-04,17730.75,1
AAY632,2026-05,211779.06,4
AAY632,2026-06,593934.58,6
AAY913,2025-08,776368.0,4
AAY913,2025-09,464726.5,3
AAY913,2025-11,116175.3,2
AAY913,2025-12,146590.5,2
AAY913,2026-01,111100.0,2
AAY913,2026-02,238450.4,6
AAY913,2026-03,414594.0,6
